Contextual Precision,Contextual Recall,Contextual Relevancy,Answer Relevancy,Faithfulness
0.5,1.0,0.6167519092559814,0.6216575503349304,0.7005634903907776
1.0,0.38461538461538464,0.4820891320705414,0.5334585905075073,0.37222058466962865
0.8,0.6923076923076923,0.7339822053909302,0.6156730055809021,0.5580677410830622
1.0,1.0,0.7637102603912354,0.7996357083320618,0.6998178541660309
1.0,0.5,0.7609744071960449,0.7103550434112549,0.40838081638018287
0.11363636363636363,0.8333333333333334,0.7912940979003906,0.6647621393203735,0.5797730016708373
1.0,0.46153846153846156,0.7815849781036377,0.7761675119400024,0.6274720773232721
1.0,0.6153846153846154,0.8874722719192505,0.7679445147514343,0.6822691507961439
0.23809523809523808,0.8571428571428571,0.6272591352462769,0.6660960912704468,0.467699495156606
1.0,1.0,0.6017083525657654,0.5801221132278442,0.3433843684196472
0.75,1.0,0.557996392250061,0.6538334488868713,0.646595664860047
1.0,0.9,0.6299670338630676,0.7218843698501587,0.3909138491455938
0.6774193548387096,0.7,0.6022723913192749,0.5018421411514282,0.4948203061651063
0.045454545454545456,0.3333333333333333,0.5851701498031616,0.6289089322090149,0.45072628612871524
1.0,0.46153846153846156,0.7280189394950867,0.5260417461395264,0.5119858434361019
1.0,1.0,0.7981223464012146,0.824004590511322,0.6282785035468437
1.0,0.3076923076923077,0.7766650915145874,0.5935298204421997,0.5587422952547179
0.07692307692307693,1.0,0.7554405331611633,0.7165287733078003,0.8756515076083522
1.0,0.6153846153846154,0.7994820475578308,0.8043014407157898,0.4957763910293579
0.9166666666666666,0.9,0.9279608726501465,0.6460744142532349,0.6835351113010855
1.0,0.8333333333333334,0.6970092058181763,0.7939109206199646,0.48263640030399785
1.0,0.2,0.6454650163650513,0.7269469499588013,0.2392489355185936
0.0,0.0,0.3640934228897095,0.44846394658088684,0.2773938598957929
1.0,0.8333333333333334,0.8801184892654419,0.8550686836242676,0.5661243200302124
0.3888888888888889,1.0,0.6580942273139954,0.6054894924163818,0.4765558449427287
0.625,1.0,0.7137774229049683,0.6497212052345276,0.5214622318744659
1.0,1.0,0.4976522922515869,0.5478931069374084,0.32554877346212213
1.0,0.75,0.7699198722839355,0.587294340133667,0.4768000590701063
0.05660377358490566,1.0,0.5764080286026001,0.557185173034668,0.4264111449552137
1.0,1.0,0.7697898149490356,0.6441736817359924,0.4974699826801524
0.2,0.5,0.3324127197265625,0.3685463070869446,0.21693862839178607
1.0,0.5,0.5767959952354431,0.4591165781021118,0.34214166157385884
1.0,0.1,0.3422788977622986,0.1783437728881836,0.30475228143409944
1.0,0.38461538461538464,0.8261421918869019,0.6753889918327332,0.6914792509306045
0.8205128205128205,0.8666666666666667,0.8055436611175537,0.7244745492935181,0.5565474190495231
0.5952380952380952,0.9333333333333333,0.6602624654769897,0.7572827935218811,0.47990357012584295
0.7857142857142857,1.0,0.7661097049713135,0.7522866725921631,0.750099208425073
1.0,0.2711864406779661,0.4948585033416748,0.61522376537323,0.26380228347638074
1.0,0.7777777777777778,0.8711186647415161,0.7772970795631409,0.6842112724597638
0.23529411764705882,0.8,0.5922271609306335,0.6867703199386597,0.4379469293814439
1.0,0.8,0.8199342489242554,0.561689019203186,0.6700471492914053
1.0,0.4166666666666667,0.7071551084518433,0.7574940919876099,0.43385493996167424
1.0,0.25,0.6236982941627502,0.7078150510787964,0.33254037777582807
0.0,0.0,0.33331534266471863,0.344609797000885,0.20111722680362495
1.0,1.0,0.7648338079452515,0.6765533685684204,0.6473217242293887
0.275,1.0,0.7288531064987183,0.6994800567626953,0.6063471436500549
0.9393939393939394,1.0,0.8684219121932983,0.7358443737030029,0.8764953935146331
0.3870967741935484,1.0,0.5573148131370544,0.5236772298812866,0.5335523188114166
0.6363636363636364,1.0,0.7683874368667603,0.6794887781143188,0.6024663338535711
1.0,0.625,0.890541136264801,0.7924545407295227,0.5295768213515379
1.0,0.5714285714285714,0.4598761796951294,0.36654725670814514,0.3212313385386216
1.0,0.6428571428571429,0.673068106174469,0.5362011194229126,0.41472871240816617
0.5625,1.0,0.6970325112342834,0.6976500749588013,0.8404025717785484
0.41025641025641024,1.0,0.8790723085403442,0.647621750831604,0.8507638963369223
0.08695652173913043,1.0,0.7654274702072144,0.6301775574684143,0.8338618413094552
1.0,0.5,0.6045098304748535,0.7368122339248657,0.36205724307468956
0.3333333333333333,1.0,0.6502662301063538,0.6663603782653809,0.6951919436454773
0.5,0.5,0.7198432683944702,0.728178858757019,0.3670097833329981
1.0,1.0,0.9171714186668396,0.7775329351425171,0.9400758665540945
0.15384615384615385,0.5,0.6244852542877197,0.545870304107666,0.4859329068914373
1.0,0.5,0.8292018175125122,0.7600336670875549,0.6580379421894367
0.058823529411764705,0.8333333333333334,0.6618359684944153,0.680791974067688,0.5292863120203433
1.0,0.4,0.7350720167160034,0.7051272392272949,0.4595458559573643
0.4375,0.8888888888888888,0.5634273290634155,0.7732871174812317,0.44521561677915505
0.6666666666666666,0.23076923076923078,0.5868924856185913,0.7227698564529419,0.3754507619507459
0.6666666666666666,0.8181818181818182,0.7271257042884827,0.7051500082015991,0.56890869140625
0.38636363636363635,0.6153846153846154,0.49413612484931946,0.4666823744773865,0.45656232671304187
0.3939393939393939,0.7692307692307693,0.40573763847351074,0.6769345998764038,0.31589434515862236
0.2222222222222222,0.5714285714285714,0.7105721235275269,0.8039435148239136,0.4915749132633209
1.0,0.5,0.6964946389198303,0.6666264533996582,0.5293309038335627
1.0,0.125,0.0577344186604023,0.022809376940131187,0.11107310705951282
0.7777777777777778,1.0,0.395660400390625,0.46190693974494934,0.34157404354934034
0.0,0.0,0.33095288276672363,0.3622952103614807,0.1547513776100599
0.8888888888888888,0.85,0.6025006175041199,0.6248777508735657,0.423034427859259
0.725,1.0,0.8142350316047668,0.6842458248138428,0.9099413156509399
1.0,0.5714285714285714,0.5573896765708923,0.6196695566177368,0.372504643031529
1.0,1.0,0.5767602920532227,0.5982393622398376,0.3852987320799577
0.2222222222222222,1.0,0.6181278228759766,0.7481026649475098,0.645722250143687
0.3829787234042553,0.8888888888888888,0.9276706576347351,0.6495534181594849,0.8438377711974399
1.0,0.6666666666666666,0.6777241230010986,0.6587355136871338,0.4003133808865267
0.6190476190476191,1.0,0.6230528950691223,0.5071721076965332,0.5094451869235319
1.0,0.23076923076923078,0.6213321089744568,0.7500272989273071,0.3844027258768803
0.4594594594594595,0.8333333333333334,0.7066565155982971,0.6034321784973145,0.6036853659642886
0.5454545454545454,0.42857142857142855,0.4803696572780609,0.5751866102218628,0.3300472510897595
0.5862068965517241,0.9285714285714286,0.5616852641105652,0.5675344467163086,0.4696581765097015
1.0,0.6666666666666666,0.7070719003677368,0.6912422180175781,0.4218149448550025
0.8333333333333334,1.0,0.7850803136825562,0.7672610282897949,0.7196594218413035
0.5135135135135135,1.0,0.7284998297691345,0.5832812786102295,0.8108774701069141
0.6333333333333333,0.8333333333333334,0.7397143840789795,0.6289429068565369,0.6325265965154094
1.0,0.6,0.608444094657898,0.594873309135437,0.37392468149982283
1.0,1.0,0.5258716344833374,0.5278810262680054,0.26500403735695816
0.9736842105263158,1.0,0.7931625843048096,0.6819462776184082,0.8070145186923798
0.02857142857142857,1.0,0.7035914659500122,0.6805853843688965,0.8718732595443726
0.5777777777777777,1.0,0.6721334457397461,0.6911455988883972,0.5714890999453408
0.30434782608695654,0.6363636363636364,0.5201786756515503,0.6787025928497314,0.4387369697744196
1.0,0.3076923076923077,0.762723445892334,0.5146791934967041,0.5582334800906803
0.40476190476190477,0.9166666666666666,0.6942269802093506,0.7167466878890991,0.430521559715271
0.6774193548387096,0.875,0.7793439626693726,0.6703429818153381,0.7674195727994365
0.13725490196078433,1.0,0.6666973829269409,0.7194277048110962,0.660720680699204
0.42857142857142855,0.9230769230769231,0.6549009084701538,0.6424192190170288,0.6686099374995512
